,Cities,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Cape Town,0,ZA,1541181600,63,-33.93,18.42,64.4,12.75
1,Saint George,0,GR,1541181000,93,39.45,22.34,60.8,3.15
2,Ushuaia,75,AR,1541181600,43,-54.81,-68.31,51.8,17.22
3,Atuona,0,PF,1541185150,100,-9.8,-139.03,80.78,11.99
4,Harper,1,US,1541182500,34,30.3,-99.24,68.9,10.29
5,Pangnirtung,20,CA,1541181600,52,66.15,-65.72,15.8,3.36
6,Sindor,48,RU,1541185150,96,62.87,51.9,32.05,3.49
7,Rikitea,92,PF,1541185151,100,-23.12,-134.97,71.83,16.35
8,Severo-Kurilsk,48,RU,1541185151,92,50.68,156.12,41.45,20.83
9,Saint-Philippe,90,CA,1541182920,100,45.36,-73.48,41.0,12.75
10,Arraial do Cabo,75,BR,1541185200,69,-22.97,-42.02,80.6,4.7
11,Santa Isabel,75,CO,1541181600,74,4.71,-75.1,80.6,8.05
12,Kodiak,90,US,1541184780,71,39.95,-94.76,50.0,8.05
13,Shelburne,90,CA,1541183040,93,44.08,-80.2,41.0,5.82
14,Qaanaaq,0,GL,1541185152,100,77.48,-69.36,0.73,8.75
15,Butaritari,0,KI,1541185153,100,3.07,172.79,84.97,10.65
16,Punta Arenas,75,CL,1541181600,36,-53.16,-70.91,60.8,11.41
17,Busselton,44,AU,1541185153,100,-33.64,115.35,58.64,13.0
18,Buala,80,SB,1541185154,94,-8.15,159.59,81.23,9.98
19,Katsuura,0,JP,1541185154,100,33.93,134.5,49.37,4.61
20,Hilo,1,US,1541181360,63,19.71,-155.08,73.04,4.7
21,Upernavik,24,GL,1541185154,100,72.79,-56.15,19.63,2.37
22,New Norfolk,40,AU,1541183400,75,-42.78,147.06,44.6,19.46
23,Tshikapa,44,CD,1541185155,89,-6.42,20.79,75.47,3.27
24,Mataura,80,NZ,1541185155,69,-46.19,168.86,61.21,21.27
25,Lerwick,48,GB,1541182800,86,60.15,-1.15,46.4,11.41
26,Kapaa,40,US,1541181360,74,22.08,-159.32,80.06,12.75
27,Salina Cruz,12,MX,1541185156,68,16.18,-95.2,85.51,8.41
28,Yellowknife,90,CA,1541183280,92,62.45,-114.38,26.6,10.29
29,Barrow,92,AR,1541185038,98,-38.31,-60.23,51.4,17.25
30,Rorvik,75,NO,1541182800,100,64.86,11.24,42.8,8.05
31,Provideniya,76,RU,1541185156,100,64.42,-173.23,36.77,21.72
32,Mar del Plata,32,AR,1541185157,49,-46.43,-67.52,62.42,13.44
33,Hit,44,IQ,1541185157,55,33.64,42.83,59.32,2.59
34,Saldanha,12,PT,1541185157,83,41.42,-6.55,54.14,3.6
35,Bredasdorp,0,ZA,1541181600,72,-34.53,20.04,62.6,19.46
36,Albany,90,US,1541184720,96,42.65,-73.75,62.06,4.7
37,Luderitz,12,NA,1541185158,72,-26.65,15.16,61.07,3.94
38,Jamestown,0,AU,1541184992,86,-33.21,138.6,52.52,7.29
39,Donskoye,0,RU,1541181600,70,45.45,41.98,44.6,24.61
40,Dukat,20,RS,1541185158,83,42.44,22.31,56.75,1.36
41,Byron Bay,0,AU,1541183400,72,-28.65,153.62,68.0,9.17
42,Hammerfest,0,NO,1541182800,97,70.66,23.68,42.8,20.8
43,Rajampet,48,IN,1541185159,96,14.19,79.16,73.27,2.59
44,Oranjestad,40,AW,1541181600,66,12.52,-70.03,87.8,21.92
45,Tongliao,0,CN,1541185159,61,43.61,122.27,49.15,14.45
46,Hithadhoo,88,MV,1541185160,100,-0.6,73.08,82.49,12.77
47,Chenghai,90,CN,1541181600,93,23.46,116.77,66.2,20.49
48,Bluff,0,AU,1541185160,94,-23.58,149.07,61.43,5.39
49,Tuktoyaktuk,90,CA,1541181600,92,69.44,-133.03,12.2,8.05
50,Ondangwa,0,NA,1541185161,23,-17.91,15.98,81.32,3.15
51,Pinega,56,RU,1541185161,96,64.7,43.39,30.2,2.82
52,Puerto Ayora,75,EC,1541181600,65,-0.74,-90.35,77.0,9.17
53,Dakar,0,SN,1541181600,74,14.69,-17.45,80.6,6.93
54,Along,64,IN,1541185161,82,28.17,94.8,59.54,2.04
55,San Ramon,40,NI,1541181600,51,12.92,-85.84,80.6,2.59
56,Airai,24,TL,1541185162,88,-8.93,125.41,65.53,1.7
57,Burnie,24,AU,1541185162,100,-41.05,145.91,53.47,33.35
58,Kaitangata,56,NZ,1541185162,82,-46.28,169.85,54.91,9.53
59,Bambous Virieux,20,MU,1541181600,78,-20.34,57.76,75.2,8.05
60,Whitianga,68,NZ,1541185163,100,-36.83,175.7,57.16,14.79
61,Dingle,8,PH,1541185163,92,11.0,122.67,77.05,7.74
62,Ribeira Grande,20,PT,1541183400,94,38.52,-28.7,69.8,8.05
63,Hermanus,0,ZA,1541185164,44,-34.42,19.24,66.7,5.17
64,Krasnovishersk,92,RU,1541185164,97,60.4,57.08,36.73,7.4
65,Pisco,0,PE,1541181600,30,-13.71,-76.2,71.6,10.29
66,New Bern,75,US,1541183100,93,35.11,-77.04,78.08,6.93
67,Sal Rei,0,CV,1541181600,69,16.18,-22.92,80.6,17.22
68,Vaini,64,IN,1541185165,74,15.34,74.49,75.52,4.5
69,Soe,24,EE,1541181000,100,57.91,26.05,50.0,6.93
70,Necochea,92,AR,1541185165,100,-38.55,-58.74,50.32,15.01
71,Sydney,0,AU,1541183400,69,-33.85,151.22,73.4,8.05
72,Cabo San Lucas,5,MX,1541180880,54,22.89,-109.91,82.4,6.4
73,College,1,US,1541181480,85,64.86,-147.8,3.92,7.07
74,Leh,80,IN,1541185166,65,34.16,77.58,8.42,2.37
75,Klaksvik,68,FO,1541182800,81,62.23,-6.59,42.8,18.34
76,Bintulu,75,MY,1541181600,100,3.17,113.03,77.0,4.7
77,Avarua,40,CK,1541181600,73,-21.21,-159.78,77.0,12.75
78,Kihei,20,US,1541181360,69,20.76,-156.45,80.06,13.87
79,Aksu,90,KZ,1541181600,92,52.04,76.93,30.2,20.13
80,Kharopon,32,GR,1541185167,88,41.27,23.38,52.43,1.7
81,Nikolskoye,90,RU,1541181600,93,59.7,30.79,44.6,4.47
82,Faanui,92,PF,1541185168,100,-16.48,-151.75,77.95,18.37
83,Moranbah,44,AU,1541185168,98,-22.0,148.04,63.14,6.96
84,Castro,75,CL,1541185200,66,-42.48,-73.76,84.2,2.59
85,Teya,90,MX,1541180640,66,21.05,-89.07,84.2,3.49
86,Yamada,75,JP,1541181600,81,36.58,137.08,51.8,3.36
87,Uvalde,1,US,1541182500,44,29.21,-99.79,71.96,6.93
88,Maragogi,0,BR,1541185169,70,-9.01,-35.22,83.84,12.21
89,Gediz,0,TR,1541185170,52,38.99,29.39,44.92,3.49
90,Tasiilaq,40,GL,1541181000,58,65.61,-37.64,28.4,5.82
91,Mercedes,64,UY,1541185170,62,-33.25,-58.03,77.5,8.75
92,Leningradskiy,88,RU,1541185170,100,69.38,178.42,21.02,1.59
93,Talnakh,24,RU,1541185170,66,69.49,88.39,-0.85,6.73
94,Mazara del Vallo,20,IT,1541181300,82,37.65,12.59,62.6,9.17
95,Razdolinsk,76,RU,1541185171,73,58.42,94.62,20.17,9.42
96,Iqaluit,20,CA,1541181600,71,63.75,-68.52,5.0,9.17
97,Aitape,80,PG,1541185171,100,-3.15,142.36,77.0,3.83
98,Kendari,12,ID,1541185171,91,-3.99,122.52,73.85,2.59
99,Victoria,90,BN,1541183400,78,5.28,115.24,82.4,4.7
100,Chitral,76,PK,1541185172,90,35.85,71.79,14.5,0.92
101,Flinders,0,AU,1541183400,50,-34.58,150.85,75.2,18.34
102,East London,20,ZA,1541181600,67,-33.02,27.91,60.8,9.17
103,Adrar,0,DZ,1541181600,29,27.87,-0.29,75.2,11.41
104,Beringovskiy,92,RU,1541185173,100,63.05,179.32,32.95,9.19
105,Chokurdakh,68,RU,1541185173,59,70.62,147.9,-1.8,3.04
106,Dikson,44,RU,1541185173,100,73.51,80.55,22.64,6.85
107,Fare,92,PF,1541185174,100,-16.7,-151.02,75.97,21.83
108,Dunkwa,80,GH,1541185174,95,5.97,-1.78,74.35,3.15
109,Mount Gambier,92,AU,1541185174,67,-37.83,140.78,55.49,10.42
110,Banda Aceh,24,ID,1541184902,100,5.56,95.32,74.17,2.59
111,Bathsheba,20,BB,1541181600,66,13.22,-59.52,87.8,21.92
112,Alta Floresta,40,BR,1541181600,62,-9.87,-56.08,89.6,8.05
113,Totness,90,US,1541183400,93,33.74,-80.8,71.6,6.93
114,Pacific Grove,1,US,1541183700,40,36.62,-121.92,69.8,0.47
115,Cidreira,0,BR,1541185175,76,-30.17,-50.22,73.18,14.9
116,Georgetown,40,GY,1541181600,83,6.8,-58.16,82.4,6.93
117,Dunedin,92,NZ,1541185014,64,-45.87,170.5,58.82,13.56
118,Sechura,56,PE,1541185176,76,-5.56,-80.82,74.98,7.52
119,Kenora,90,CA,1541183940,80,49.76,-94.48,33.8,5.82
120,Coihaique,75,CL,1541181600,33,-45.58,-72.07,62.6,10.29
121,Ulaangom,8,MN,1541185177,51,49.98,92.07,-13.68,2.37
122,Ponta do Sol,36,BR,1541185177,63,-20.63,-46.0,84.43,4.94
123,Torbay,75,CA,1541181600,65,47.66,-52.73,46.4,14.99
124,Te Anau,80,NZ,1541185126,74,-45.41,167.72,55.81,16.35
125,Cotonou,40,BJ,1541181600,79,6.37,2.43,84.2,8.05
126,Semnan,8,IR,1541185178,64,35.58,53.39,41.95,3.94
127,Makakilo City,75,US,1541184180,100,21.35,-158.09,78.98,3.36
128,Yerbogachen,64,RU,1541185179,54,61.28,108.01,12.25,7.85
129,Ponferrada,8,ES,1541185179,96,42.55,-6.59,46.36,2.15
130,Kavaratti,20,IN,1541185179,96,10.57,72.64,86.27,4.27
131,Bonthe,36,SL,1541185180,94,7.53,-12.5,79.75,1.48
132,Hobart,40,AU,1541183400,75,-42.88,147.33,44.6,19.46
133,Vardo,40,US,1541184420,77,39.62,-77.74,69.98,4.72
134,Okato,92,NZ,1541185180,100,-39.19,173.88,54.68,14.79
135,Geraldton,90,CA,1541184120,55,49.72,-86.95,35.6,2.24
136,Sitka,64,US,1541185181,37,37.17,-99.65,55.27,10.98
137,Thompson,75,CA,1541181600,79,55.74,-97.86,21.2,4.7
138,Agadez,0,NE,1541181600,15,16.97,7.99,89.6,11.41
139,Abu Kamal,0,SY,1541185181,75,34.45,40.92,49.64,2.71
140,Upata,100,VE,1541185182,83,8.02,-62.41,78.62,10.42
141,San Andres,76,PH,1541185182,99,13.32,122.68,83.26,11.21
142,Honiara,40,SB,1541181600,88,-9.43,159.96,75.2,3.36
143,Cabedelo,75,BR,1541181600,62,-6.97,-34.84,84.2,12.75
144,Puerto del Rosario,75,ES,1541183400,73,28.5,-13.86,71.6,25.28
145,Hervey Bay,68,AU,1541185183,100,-25.3,152.85,72.1,7.63
146,Petropavlovsk-Kamchatskiy,0,RU,1541181600,79,53.05,158.65,24.8,8.95
147,Syracuse,75,US,1541183220,82,43.05,-76.15,64.04,3.36
148,Vila Franca do Campo,75,PT,1541183400,88,37.72,-25.43,68.0,8.05
149,Isangel,64,VU,1541185184,100,-19.55,169.27,74.12,25.52
150,Komsomolskiy,68,RU,1541185185,85,67.55,63.78,24.08,10.65
151,Kandi,32,BJ,1541185185,56,11.13,2.93,82.63,2.93
152,Buraydah,75,SA,1541181600,100,26.33,43.97,59.0,13.87
153,Bethel,1,US,1541181180,87,60.79,-161.76,17.06,17.22
154,Nanortalik,36,GL,1541185186,95,60.14,-45.24,32.54,9.86
155,Tripoli,20,GR,1541182800,88,37.51,22.37,64.4,1.81
156,Beoumi,0,CI,1541185187,70,7.67,-5.58,84.52,2.93
157,Itarema,12,BR,1541185187,56,-2.92,-39.92,89.33,16.13
158,Olinda,75,EC,1541181600,58,-2.03,-79.75,84.2,9.17
159,Camden,75,US,1541184000,75,39.94,-75.12,73.94,8.05
160,Padang,76,ID,1541185188,100,-0.92,100.36,78.67,2.71
161,Mareeba,75,AU,1541183400,78,-16.99,145.42,75.2,12.75
162,Novo Aripuana,64,BR,1541185188,95,-5.12,-60.38,79.03,2.26
163,Polczyn-Zdroj,56,PL,1541185189,80,53.76,16.1,49.42,10.2
164,Pangody,56,RU,1541185189,79,65.85,74.49,8.87,19.71
165,Port Alfred,0,ZA,1541185189,86,-33.59,26.89,63.46,15.23
166,Tadine,20,NC,1541185189,100,-21.55,167.88,71.83,22.06
167,Pevek,76,RU,1541185190,100,69.7,170.27,8.65,4.61
168,Vanavara,32,RU,1541185190,61,60.35,102.28,12.07,7.18
169,Lexington,90,US,1541183940,79,38.05,-84.5,46.04,4.7
170,Birao,20,CF,1541185192,46,10.3,22.78,81.82,3.94
171,Tual,64,ID,1541185192,100,-5.67,132.75,84.16,8.41
172,Delta del Tigre,0,UY,1541185200,63,-34.76,-56.41,62.6,19.46
173,Souillac,0,FR,1541183400,81,45.6,-0.6,50.0,6.93
174,Vila Velha,20,BR,1541181600,62,-3.71,-38.6,86.0,16.11
175,Rio Grande,0,BR,1541181600,53,-32.03,-52.1,73.4,16.11
176,Mogadishu,0,SO,1541184917,98,2.04,45.34,80.6,12.44
177,Colwyn Bay,0,GB,1541182800,70,53.29,-3.71,51.8,4.7
178,Constitucion,5,MX,1541180580,44,23.99,-104.67,60.8,5.82
179,Sorland,75,NO,1541182800,87,67.67,12.69,46.4,23.04
180,Sindou,12,BF,1541185194,74,10.66,-5.16,82.36,3.27
181,Ordu,0,TR,1541185194,91,40.98,37.88,42.44,1.81
182,Tiksi,64,RU,1541185194,57,71.64,128.87,-6.3,4.94
183,General Pico,0,AR,1541185194,63,-35.66,-63.75,79.93,10.09
184,Goundam,0,ML,1541185194,30,16.42,-3.66,88.75,11.77
185,Marburg,75,DE,1541182800,76,50.81,8.78,48.2,3.36
186,Kiruna,92,SE,1541182800,100,67.86,20.23,33.8,8.05
187,Zhangjiakou,0,CN,1541185195,79,40.77,114.88,26.11,2.59
188,Esperance,40,TT,1541181600,79,10.24,-61.45,84.2,6.93
189,Fukue,75,JP,1541181600,67,35.03,136.69,57.2,14.99
190,Darnah,0,LY,1541185196,99,32.77,22.64,73.45,10.54
191,Marsh Harbour,24,BS,1541185196,96,26.54,-77.06,82.22,16.02
192,Aldan,68,RU,1541185196,55,58.61,125.39,15.62,9.08
193,Ugoofaaru,0,MV,1541185197,100,5.67,73.0,83.35,4.83
194,Tupik,0,RU,1541185197,51,54.43,119.94,12.25,6.4
195,Saskylakh,56,RU,1541185197,82,71.97,114.09,3.47,9.75
196,Beloha,80,MG,1541185197,82,-25.17,45.06,70.52,6.73
197,Campoverde,40,IT,1541182800,77,41.54,12.73,66.2,18.34
198,Preobrazheniye,0,RU,1541185198,71,42.9,133.91,18.95,1.92
199,Taoudenni,0,ML,1541185198,27,22.68,-3.98,73.45,5.5
200,Surgut,40,RU,1541181600,79,61.25,73.4,21.2,20.13
201,Fortuna,0,ES,1541183400,55,38.18,-1.13,64.4,3.36
202,Sinnamary,20,GF,1541185199,92,5.38,-52.96,83.03,5.39
203,Pascagoula,20,US,1541184780,46,30.37,-88.56,66.02,10.29
204,Lasa,0,CY,1541183400,55,34.92,32.53,69.8,5.82
205,Tura,8,IN,1541185200,90,25.52,90.21,66.92,2.26
206,Santa Marta,90,CO,1541181600,79,11.24,-74.21,84.2,11.41
207,San Cristobal,75,EC,1541181600,42,-0.39,-78.55,66.2,10.29
208,Port Hardy,75,CA,1541181600,87,50.7,-127.42,51.8,8.05
209,Zyryanka,68,RU,1541185204,80,65.73,150.89,8.56,2.93
210,Monrovia,75,LR,1541179800,74,6.33,-10.8,86.0,5.82
211,Mamallapuram,40,IN,1541183400,94,12.63,80.17,80.6,7.4
212,Letterkenny,75,IE,1541182800,81,54.95,-7.73,46.4,21.92
213,Iquitos,75,PE,1541181600,66,-3.75,-73.25,86.0,5.82
214,Sangar,76,RU,1541185208,84,63.92,127.47,12.16,4.94
215,Bambanglipuro,24,ID,1541185209,90,-7.95,110.28,72.91,2.48
216,San Quintin,20,PH,1541181600,94,17.54,120.52,78.8,2.24
217,Fort Nelson,90,CA,1541181600,79,58.81,-122.69,21.2,8.05
218,Yulara,12,AU,1541181600,37,-25.24,130.99,84.2,8.05
219,Half Moon Bay,40,US,1541181360,74,37.46,-122.43,71.6,4.7
220,Llorente,88,PH,1541185281,100,11.41,125.55,76.28,4.72
221,Guerrero Negro,0,MX,1541185212,38,27.97,-114.04,77.23,3.38
222,Shenjiamen,88,CN,1541185213,87,29.96,122.3,68.72,17.47
223,Havre-Saint-Pierre,1,CA,1541181600,86,50.23,-63.6,39.2,5.82
224,Lebu,0,ET,1541185214,60,8.96,38.73,52.88,4.94
225,Mitzic,80,GA,1541185215,95,0.78,11.55,72.32,2.71
226,Quelimane,20,MZ,1541181600,78,-17.88,36.89,78.8,6.93
227,Alofi,90,NU,1541181600,94,-19.06,-169.92,71.6,6.93
228,Tias,20,ES,1541183400,68,28.96,-13.65,71.6,24.16
229,Ilulissat,75,GL,1541181000,51,69.22,-51.1,14.0,18.34
230,Tuatapere,24,NZ,1541185218,75,-46.13,167.69,60.4,21.27
231,Fairbanks,1,US,1541181480,85,64.84,-147.72,3.92,7.07
232,Lompoc,1,US,1541181360,30,34.64,-120.46,82.04,3.71
233,Baghdad,0,IQ,1541181600,38,33.3,44.38,73.4,2.24
234,Galveston,90,US,1541183700,70,40.58,-86.19,48.02,8.05
235,Ayan,0,TR,1541185219,63,40.67,33.6,33.76,1.59
236,Hualmay,0,PE,1541185220,62,-11.1,-77.61,73.18,4.72
237,Coquimbo,0,CL,1541181600,60,-29.95,-71.34,68.0,13.87
238,Camacupa,12,AO,1541185222,55,-12.02,17.48,72.28,2.93
239,Luwuk,48,ID,1541185292,96,-0.95,122.79,78.67,1.36
240,Cairns,75,AU,1541183400,78,-16.92,145.77,75.2,12.75
241,Tynda,0,RU,1541185223,60,55.15,124.74,11.26,5.06
242,Mapimi,5,MX,1541180640,46,25.82,-103.85,71.6,5.82
243,Agustin Codazzi,75,CO,1541181600,70,10.03,-73.24,86.0,10.29
244,Ostrovnoy,20,RU,1541185225,92,68.05,39.51,27.59,8.97
245,Namatanai,88,PG,1541185226,100,-3.66,152.44,79.21,7.74
246,Arkhangelsk,90,RU,1541181600,100,64.54,40.54,35.6,2.24
247,Shu,44,KZ,1541185227,69,43.6,73.76,22.6,2.93
248,Hasaki,20,JP,1541181600,100,35.73,140.83,46.4,3.36
249,Hershey,90,US,1541181360,75,40.29,-76.65,69.08,4.7
250,Kabo,20,CF,1541185227,54,7.69,18.62,83.93,12.1
251,Inhambane,40,MZ,1541181600,83,-23.87,35.38,73.4,11.41
252,Erzin,0,TR,1541182800,63,36.95,36.2,66.2,4.7
253,Ancud,75,CL,1541185200,66,-41.87,-73.83,84.2,3.27
254,Colares,75,PT,1541183400,87,38.8,-9.45,64.4,9.17
255,Codrington,0,AU,1541185229,78,-28.95,153.24,64.4,6.73
256,Ust-Kuyga,36,RU,1541185229,68,70.0,135.55,-15.84,3.38
257,Inirida,8,CO,1541185229,70,3.87,-67.92,88.12,2.15
258,Carnarvon,0,ZA,1541185230,14,-30.97,22.13,55.49,4.72
