,Cities,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
259,Gat,0,SN,1541181600,32,14.69,-16.54,96.8,4.7
260,Gigmoto,80,PH,1541185230,100,13.78,124.39,79.93,8.3
261,Qostanay,90,KZ,1541181600,91,53.17,63.58,37.4,13.42
262,Cockburn Town,0,TC,1541185230,99,21.46,-71.14,82.04,18.25
263,Edmonds,90,US,1541183700,72,47.81,-122.38,59.0,8.05
264,Merauke,8,ID,1541185231,92,-8.49,140.4,78.89,13.33
265,Verkhnevilyuysk,88,RU,1541185231,66,63.45,120.31,10.49,9.42
266,Port Elizabeth,75,US,1541184900,81,39.31,-74.98,71.96,6.93
267,Bilibino,68,RU,1541185303,68,68.06,166.44,-2.16,2.59
268,Mamburao,8,PH,1541185233,100,13.22,120.6,77.18,7.07
269,Stephenville,1,US,1541182500,32,32.22,-98.2,71.6,10.29
270,Srednekolymsk,56,RU,1541185234,76,67.46,153.71,7.57,4.38
271,Tabou,88,CI,1541185234,100,4.42,-7.36,81.1,11.1
272,Tuim,80,RU,1541185234,88,54.34,89.93,19.94,13.0
273,Itoman,75,JP,1541183400,83,26.12,127.67,73.4,11.41
274,Usinsk,80,RU,1541185235,91,66.0,57.56,27.37,5.61
275,Road Town,40,VG,1541185200,62,18.42,-64.62,87.8,10.29
276,Rio Gallegos,40,AR,1541181600,23,-51.62,-69.22,64.4,25.28
277,Otradnoye,90,RU,1541181600,93,59.77,30.8,44.6,4.47
278,Henties Bay,0,NA,1541185236,86,-22.12,14.28,63.95,3.38
279,Hambantota,48,LK,1541185236,100,6.12,81.12,78.58,3.71
280,Atasu,80,KZ,1541185236,60,48.68,71.64,26.02,14.79
281,Yucaipa,1,US,1541181480,22,34.03,-117.04,84.92,2.59
282,Morant Bay,20,JM,1541181600,62,17.88,-76.41,86.0,20.8
283,Saint-Leu,20,RE,1541183400,78,-21.15,55.28,73.4,2.24
284,Dauphin,88,CA,1541185237,86,51.15,-100.04,27.5,5.06
285,Quevedo,80,EC,1541185079,100,-1.02,-79.47,65.62,3.15
286,Cap-aux-Meules,90,CA,1541181600,86,47.38,-61.86,41.0,8.05
287,Tongchuan,0,CN,1541181600,43,34.9,108.95,55.4,11.18
288,Krivosheino,88,RU,1541185238,92,57.34,83.93,27.68,15.57
289,Timmins,90,CA,1541181600,74,48.48,-81.33,30.2,8.05
290,Sioux Lookout,90,CA,1541181600,82,50.1,-91.92,32.0,2.24
291,Niquelandia,36,BR,1541185228,85,-14.47,-48.46,84.52,4.05
292,Berga,0,ES,1541183400,81,42.1,1.85,53.6,3.36
293,Cherskiy,32,RU,1541185240,58,68.75,161.3,-1.44,0.69
294,Shimoda,75,JP,1541182200,81,34.7,138.93,53.6,2.24
295,Kurilsk,0,RU,1541185242,100,45.23,147.88,45.68,11.99
296,Manbij,0,SY,1541182800,58,36.53,37.96,53.6,3.36
297,Eureka,90,US,1541184000,87,40.8,-124.16,60.98,10.29
298,Sao Filipe,36,CV,1541185242,85,14.9,-24.5,81.77,14.0
299,Mecca,12,SA,1541185042,74,21.43,39.83,71.38,6.96
300,Aden,0,YE,1541185243,96,12.79,45.03,81.77,12.33
301,Nouadhibou,0,MR,1541181600,56,20.93,-17.03,73.4,16.11
302,Maroantsetra,0,MG,1541185243,100,-15.43,49.74,70.12,3.38
303,Sabang,76,PH,1541185244,92,13.72,123.58,80.6,7.85
304,Belokurikha,56,RU,1541185244,62,52.0,84.99,22.96,6.17
305,Berlevag,0,NO,1541181000,80,70.86,29.09,39.2,20.8
306,Cayenne,75,GF,1541183400,66,4.94,-52.33,87.8,11.41
307,Tautira,20,PF,1541183400,62,-17.73,-149.15,84.2,3.36
308,Los Llanos de Aridane,75,ES,1541183400,73,28.66,-17.92,71.6,14.99
309,Ahipara,0,NZ,1541185246,97,-35.17,173.16,53.42,11.1
310,Amlame,48,TG,1541185247,80,7.47,0.9,78.62,4.72
311,Zhaotong,80,CN,1541185247,100,27.34,103.71,43.57,2.71
312,Hay River,90,CA,1541183040,92,60.82,-115.79,24.8,3.36
313,Graaff-Reinet,0,ZA,1541185248,32,-32.25,24.53,59.0,7.4
314,Bom Jesus,12,BR,1541185069,26,-9.08,-44.36,100.36,6.06
315,Santa Fe,0,AR,1541185249,66,-31.62,-60.7,82.18,11.32
316,Kruisfontein,8,ZA,1541185249,81,-34.0,24.73,61.57,19.71
317,Flin Flon,90,CA,1541181600,54,54.77,-101.88,28.4,4.7
318,Wajima,12,JP,1541185249,100,37.4,136.9,47.71,1.7
319,Nishihara,1,JP,1541181600,79,35.74,139.53,57.2,3.71
320,Puerto Suarez,75,BO,1541181600,63,-18.96,-57.8,91.4,5.82
321,Dapaong,24,TG,1541185251,57,10.86,0.2,86.0,1.7
322,Bubaque,20,GW,1541181600,52,11.28,-15.83,91.4,3.36
323,Tahe,76,CN,1541185252,73,52.34,124.71,28.58,7.4
324,Vostok,0,RU,1541185253,67,46.45,135.83,17.02,3.15
325,Keetmanshoop,0,NA,1541181600,7,-26.57,18.15,80.6,5.82
326,Hays,1,US,1541181360,43,38.88,-99.33,51.08,14.99
327,Sao Felix do Xingu,76,BR,1541185253,82,-6.64,-51.99,81.55,2.93
328,Chuy,20,UY,1541185254,81,-33.69,-53.46,67.6,11.99
329,Terenos,40,BR,1541181600,58,-20.44,-54.87,84.2,8.05
330,Christchurch,92,NZ,1541183400,71,-43.53,172.64,55.4,9.17
331,Naze,75,NG,1541181600,94,5.43,7.07,75.2,2.24
332,Manjacaze,92,MZ,1541185255,98,-24.71,33.88,66.74,17.25
333,Meadow Lake,90,CA,1541181600,80,54.13,-108.44,30.2,12.75
334,Kalmunai,88,LK,1541185256,98,7.42,81.82,76.15,3.27
335,Valdivia,90,CL,1541181600,100,-39.81,-73.25,53.6,4.7
336,Hami,80,CN,1541185257,77,42.84,93.51,32.27,3.04
337,Sailana,36,IN,1541185257,61,23.46,74.92,72.46,3.49
338,Chaihe,0,CN,1541185327,64,44.77,129.68,23.9,3.71
339,Cap Malheureux,20,MU,1541181600,78,-19.98,57.61,75.2,8.05
340,Panama City,75,US,1541182260,72,30.16,-85.65,66.38,10.29
341,Kahului,20,US,1541181360,69,20.89,-156.47,80.06,13.87
342,Marawi,36,PH,1541185259,94,8.0,124.29,67.73,2.37
343,Dolores,64,AR,1541185259,69,-36.31,-57.68,61.3,15.46
344,Brockville,90,CA,1541182500,96,44.59,-75.69,42.8,4.7
345,Kirakira,68,SB,1541185260,100,-10.46,161.92,81.37,21.72
346,Serebryansk,40,KZ,1541181600,79,49.68,83.3,19.4,13.42
347,Virginia Beach,90,US,1541182800,81,36.85,-75.98,75.92,12.75
348,Rousinov,0,CZ,1541183400,87,49.2,16.88,53.6,2.24
349,Lorengau,76,PG,1541185262,100,-2.02,147.27,80.87,7.74
350,Ponta Delgada,75,PT,1541183400,88,37.73,-25.67,68.0,8.05
351,Costa Rica,5,MX,1541181000,48,24.59,-107.39,84.2,3.94
352,Baykit,48,RU,1541185263,68,61.68,96.39,10.94,9.42
353,Longyearbyen,75,NO,1541181000,73,78.22,15.63,23.0,20.8
354,Lagoa,20,PT,1541183400,82,37.14,-8.45,64.4,8.05
355,Kieta,76,PG,1541185266,100,-6.22,155.63,76.6,3.6
356,Quatre Cocos,20,MU,1541181600,78,-20.21,57.76,75.2,8.05
357,Miles City,90,US,1541184780,100,46.41,-105.84,35.06,12.75
358,Sawtell,44,AU,1541183400,64,-30.38,153.1,71.6,13.87
359,Ca Mau,68,VN,1541185268,98,9.18,105.15,78.31,7.4
360,Porto Walter,0,BR,1541185016,38,-8.27,-72.74,98.15,2.93
361,Trenggalek,12,ID,1541185269,83,-8.05,111.71,72.73,2.93
362,Grindavik,75,IS,1541181660,80,63.84,-22.43,33.8,19.46
363,Nome,1,US,1541182500,44,30.04,-94.42,69.08,8.05
364,Raudeberg,40,NO,1541182800,100,61.99,5.14,44.6,10.29
365,Mount Isa,44,AU,1541183400,73,-20.73,139.49,75.2,11.21
366,Mount Darwin,88,ZW,1541185270,61,-16.77,31.58,75.43,7.4
367,Calamar,32,CO,1541185270,68,1.96,-72.65,85.82,2.93
368,Riyadh,0,SA,1541181600,53,24.63,46.72,71.6,6.93
369,Taltal,32,CL,1541185270,79,-25.41,-70.49,66.61,3.71
370,Truro,20,GB,1541182800,76,50.26,-5.05,51.8,8.05
371,Mashhad,75,IR,1541181600,80,36.3,59.61,39.2,9.17
372,Camacha,40,PT,1541183400,82,33.08,-16.33,68.0,11.41
373,Mahebourg,20,MU,1541181600,78,-20.41,57.7,75.2,8.05
374,Karlshus,0,NO,1541182800,93,59.35,10.87,42.8,2.24
375,Tandahimba,0,TZ,1541185272,58,-10.76,39.63,77.77,8.97
376,Kedrovyy,40,RU,1541181600,67,56.17,91.82,21.2,13.42
377,Deputatskiy,44,RU,1541185272,74,69.3,139.9,-18.09,2.93
378,San Julian,40,SV,1541184600,55,13.7,-89.56,87.8,2.24
379,Prince Rupert,90,CA,1541181600,87,54.32,-130.32,50.0,11.41
380,Astana,90,KZ,1541181600,100,51.13,71.43,28.4,22.37
381,Luena,48,AO,1541185275,74,-11.78,19.91,73.22,2.93
382,Store Heddinge,0,DK,1541182800,87,55.31,12.39,50.0,11.41
383,Barra do Garcas,40,BR,1541181600,49,-15.89,-52.26,91.4,3.36
384,Alice Springs,0,AU,1541183400,64,-23.7,133.88,73.4,4.7
385,Puerto Ayacucho,40,CO,1541181600,55,5.66,-67.63,91.4,3.71
386,Waddan,88,LY,1541185278,38,29.16,16.14,70.03,3.83
387,Jacareacanga,75,BR,1541181600,79,-6.22,-57.76,86.0,4.7
388,Tarauaca,36,BR,1541185279,56,-8.16,-70.77,92.39,3.71
389,Tsiroanomandidy,92,MG,1541185280,47,-18.77,46.05,75.65,3.38
390,Huarmey,0,PE,1541185280,51,-10.07,-78.15,75.38,4.16
391,Nenjiang,24,CN,1541185281,85,49.17,125.23,32.23,4.27
392,Bara,0,NG,1541185281,46,10.41,10.6,81.1,3.04
393,Bagepalli,40,IN,1541183400,100,13.78,77.8,69.8,5.82
394,Awjilah,12,LY,1541185283,54,29.14,21.3,66.29,8.19
395,Pleszew,12,PL,1541185353,81,51.9,17.79,47.93,2.93
396,Hue,40,VN,1541183400,100,16.47,107.58,69.8,2.24
397,Khatanga,64,RU,1541185284,71,71.98,102.47,1.22,12.77
398,Kongoussi,0,BF,1541185285,26,13.32,-1.53,90.77,6.29
399,Portland,75,US,1541181600,75,45.52,-122.67,62.06,20.8
400,Carauari,20,BR,1541185285,70,-4.88,-66.9,88.57,3.38
401,Onalaska,90,US,1541183760,58,43.88,-91.23,48.2,4.7
402,Norman Wells,75,CA,1541182020,84,65.28,-126.83,8.6,2.24
403,Sao Jose da Coroa Grande,0,BR,1541185183,70,-8.9,-35.15,83.84,12.21
404,Minnedosa,90,CA,1541181600,86,50.25,-99.84,30.2,13.87
405,Goundi,0,TD,1541185287,43,9.36,17.37,80.47,3.15
406,Alugan,92,PH,1541185287,100,12.22,125.48,78.44,6.85
407,Sao Miguel do Araguaia,64,BR,1541185287,85,-13.28,-50.16,87.35,4.61
408,Quarai,0,BR,1541185288,66,-30.39,-56.45,83.39,11.1
409,Nara,0,JP,1541181600,67,34.68,135.8,57.2,9.17
410,Ruteng,8,ID,1541185288,88,-8.61,120.46,69.67,3.83
411,Vao,80,EE,1541185288,96,59.1,26.19,51.58,9.98
412,Arlit,0,NE,1541185288,16,18.74,7.39,78.44,2.71
413,Maputo,75,MZ,1541181600,82,-25.97,32.57,66.2,4.7
414,Moussoro,0,TD,1541185289,44,13.64,16.49,79.21,3.94
415,Tole,40,CM,1541181600,100,4.11,9.25,73.4,4.7
416,Jalu,12,LY,1541185289,47,29.03,21.55,67.87,8.3
417,Namibe,0,AO,1541185290,100,-15.19,12.15,72.73,10.42
418,La Ronge,90,CA,1541181600,73,55.1,-105.3,26.6,4.7
419,Sibolga,56,ID,1541185290,100,1.74,98.78,68.18,2.04
420,Viedma,92,AR,1541185290,93,-40.81,-62.99,54.59,9.98
421,Palmer,75,AU,1541183400,67,-34.85,139.16,60.8,14.99
422,Axim,48,GH,1541185291,100,4.87,-2.24,80.78,10.98
423,Otaru,0,JP,1541185291,100,43.18,140.99,40.6,6.4
424,Touros,0,BR,1541185291,66,-5.2,-35.46,85.51,15.46
425,Ixtapa,90,MX,1541180940,74,20.71,-105.21,82.4,1.92
426,Omboue,0,GA,1541185292,100,-1.57,9.26,79.93,8.3
427,Matagami,24,NG,1541185292,82,9.67,8.4,73.27,5.06
428,Saint Anthony,40,US,1541183220,60,43.97,-111.68,53.96,21.92
429,Orotukan,20,RU,1541185293,75,62.26,151.67,-1.21,2.71
430,Beyneu,0,KZ,1541185293,68,45.32,55.19,18.37,2.93
431,Anadyr,90,RU,1541181600,92,64.73,177.51,24.8,6.71
432,Menomonie,75,US,1541183760,65,44.88,-91.92,46.4,3.36
433,Dali,0,CN,1541185294,100,25.6,100.24,38.98,1.7
434,Panzhihua,0,CN,1541185294,81,26.59,101.72,38.62,2.04
435,Haines Junction,36,CA,1541185295,100,60.75,-137.51,-2.65,2.37
436,Las Vegas,1,US,1541182500,26,36.17,-115.15,71.6,3.15
437,Lata,92,IN,1541185365,100,30.78,78.62,41.9,1.36
438,Celestun,92,MX,1541185296,100,20.87,-90.4,75.25,15.57
439,Jogindarnagar,92,IN,1541185296,99,31.98,76.77,48.88,2.37
440,Evensk,0,RU,1541185297,100,61.92,159.24,11.48,7.29
441,Luorong,0,CN,1541185297,69,24.41,109.6,51.4,3.27
442,Kolondieba,0,ML,1541185297,53,11.09,-6.89,84.25,7.63
443,Yakeshi,76,CN,1541185367,73,49.28,120.73,28.85,10.09
444,Sturgeon Bay,90,US,1541181360,55,44.83,-87.38,42.98,9.17
445,Ossora,64,RU,1541185298,100,59.24,163.07,23.68,18.14
446,San Matias,75,HN,1541185200,54,13.97,-86.63,78.8,11.41
447,Turayf,75,SA,1541181600,33,31.68,38.65,59.0,6.93
448,Tazovskiy,64,RU,1541185299,79,67.47,78.7,10.81,20.71
449,Kavieng,48,PG,1541185300,100,-2.57,150.8,80.2,4.94
450,San Patricio,68,PY,1541185300,76,-26.98,-56.83,84.2,6.73
451,Ohangaron,0,UZ,1541181600,74,40.91,69.65,33.8,0.92
452,Beipiao,0,CN,1541185371,87,41.8,120.76,43.93,8.97
453,Port Macquarie,88,AU,1541181600,68,-31.43,152.91,69.8,1.12
454,Port Lincoln,92,AU,1541185302,91,-34.72,135.86,59.0,12.66
455,Comodoro Rivadavia,75,AR,1541181600,48,-45.87,-67.48,62.6,11.41
456,Saint-Louis,0,CH,1541183400,93,47.59,7.56,48.2,3.36
457,Tanout,0,NE,1541185303,9,14.97,8.88,79.3,7.63
458,Buchanan,75,LR,1541179800,74,5.88,-10.05,86.0,5.82
459,Acopiara,0,BR,1541185303,32,-6.09,-39.45,93.83,7.74
460,Coolum Beach,48,AU,1541185304,100,-26.53,153.09,66.25,5.73
461,Boo,32,NG,1541185304,75,7.44,8.9,83.48,4.38
462,Burns Lake,20,CA,1541185304,98,54.23,-125.76,38.71,5.73
463,Aklavik,40,CA,1541181600,92,68.22,-135.01,14.0,5.82
464,Staryy Nadym,68,RU,1541185305,81,65.61,72.68,15.35,19.15
465,Mount Pleasant,1,US,1541182500,40,33.16,-94.97,68.0,10.29
466,Solone,0,UA,1541183400,81,48.2,34.88,44.6,2.24
467,Karratha,0,AU,1541185307,56,-20.74,116.85,72.5,7.96
468,Narsipatnam,24,IN,1541185307,97,17.67,82.61,77.9,3.6
469,Indramayu,92,ID,1541185307,96,-4.05,103.78,70.88,2.82
470,Samarai,80,PG,1541185308,100,-10.62,150.67,79.34,13.89
471,Egvekinot,88,RU,1541185308,83,66.32,-179.17,13.6,2.59
472,Sile,1,US,1541184780,45,35.56,-106.37,55.4,9.17
473,Swidnik,8,PL,1541185308,86,51.22,22.7,56.48,6.29
474,Tigil,80,RU,1541185309,75,57.8,158.67,16.75,2.93
475,Ekhabi,20,RU,1541185310,86,53.51,142.97,36.59,11.21
476,Faya,20,SA,1541181600,72,18.39,42.45,66.2,4.7
477,Tarko-Sale,80,RU,1541185310,81,64.92,77.78,15.08,22.5
478,Mackay,90,CA,1541183940,100,53.65,-115.58,30.2,2.24
479,Walajapet,92,IN,1541185311,96,12.92,79.37,73.81,3.6
480,Donauworth,75,DE,1541182800,87,48.7,10.8,48.38,4.7
481,Erenhot,80,CN,1541185312,87,43.65,111.97,36.01,6.17
482,Bandarbeyla,0,SO,1541185312,100,9.49,50.81,79.03,11.43
483,Salalah,75,OM,1541181000,78,17.01,54.1,80.6,3.36
484,Senta,92,RS,1541182500,68,45.93,20.08,64.4,9.17
485,Nabire,8,ID,1541185313,96,-3.36,135.5,66.97,1.7
486,Pearl Lagoon,40,NI,1541181600,83,12.34,-83.67,82.4,4.7
487,Novikovo,0,UA,1541185314,100,45.05,34.56,45.68,3.94
488,Peterhead,75,AU,1541183400,67,-34.83,138.5,60.8,14.99
489,Ban Phaeo,0,TH,1541183400,78,13.59,100.11,77.0,4.16
490,Belmonte,8,PT,1541185315,93,40.36,-7.35,52.75,3.71
491,Kailua,75,US,1541184180,100,21.39,-157.74,78.98,3.36
492,Buta,68,CD,1541185316,83,2.79,24.73,77.32,2.93
493,Mitsamiouli,20,KM,1541181600,69,-11.38,43.28,80.6,9.17
494,Cuamba,64,MZ,1541185316,39,-14.8,36.54,79.03,4.72
495,Panaba,44,MX,1541185317,54,21.28,-88.27,91.63,4.05
496,Hobyo,0,SO,1541185317,87,5.35,48.53,77.68,9.75
497,Cascais,75,PT,1541183400,87,38.7,-9.42,64.4,9.17
498,Praxedis Guerrero,1,MX,1541181480,33,31.37,-106.02,62.06,4.16
499,Kotelnich,88,RU,1541185318,98,58.31,48.34,36.05,4.38
500,Adamovka,88,RU,1541185318,90,51.52,59.94,34.52,13.0
501,Nizhnevartovsk,75,RU,1541181600,85,60.93,76.58,24.8,15.66
502,Nerchinskiy Zavod,36,RU,1541185319,46,51.31,119.61,19.49,5.73
503,Zhigansk,12,RU,1541185319,67,66.77,123.37,-0.81,8.19
504,Rocha,36,UY,1541185319,57,-34.48,-54.34,69.4,8.75
505,Manyana,0,AU,1541183400,50,-35.26,150.51,75.2,18.34
506,Kakhi,90,AZ,1541181600,76,41.42,46.93,51.8,4.7
507,Puerto Carreno,40,CO,1541181600,55,6.19,-67.49,91.4,3.49
508,Mana,0,RS,1541183400,87,43.52,20.24,60.8,9.17
509,Qasigiannguit,75,GL,1541184600,56,68.82,-51.19,14.0,19.46
510,Kargil,88,PK,1541185321,91,34.56,76.13,14.54,1.14
511,George,20,NG,1541181600,88,6.63,3.35,80.6,4.7
512,Back Mountain,90,US,1541181240,69,41.34,-76.0,64.04,8.05
513,Tommot,68,RU,1541185323,56,58.97,126.27,15.13,9.31
514,Vestmanna,64,FO,1541182800,81,62.16,-7.17,42.8,18.34
515,Mikhaylovka,48,RU,1541185324,85,52.96,103.29,11.93,3.38
516,Tokmak,0,UA,1541185325,63,47.26,35.7,47.17,11.77
517,Clyde River,75,CA,1541181600,72,70.47,-68.59,14.0,8.05
518,Mookane,0,BW,1541185325,26,-23.68,26.66,78.31,10.65
